== 1
run,"C:\Users\f090393\Desktop\CodeV_prove\Updated_macro\macro_op_CLAUDIA_improved.seq";GO
1030.000000,6.250000,-0.000473
1029.999993,6.000027,1.749535
1029.999994,6.000024,1.499532
1029.999995,6.000020,1.249529
1029.999996,6.000016,0.999527
1029.999997,6.000012,0.749525
1029.999998,6.000008,0.499524
1029.999999,6.000004,0.249523
1030.000000,6.000000,-0.000477
1030.000001,5.999996,-0.250477
1030.000002,5.999992,-0.500476
1030.000003,5.999988,-0.750475
1030.000004,5.999984,-1.000473
1030.000005,5.999980,-1.250471
1030.000006,5.999976,-1.500468
1030.000007,5.999972,-1.750465
1029.999991,5.750034,2.249539
1029.999992,5.750030,1.999535
1029.999993,5.750026,1.749531
1029.999994,5.750023,1.499528
1029.999995,5.750019,1.249525
1029.999996,5.750015,0.999522
1029.999997,5.750011,0.749521
1029.999998,5.750007,0.499519
1029.999999,5.750004,0.249519
1030.000000,5.750000,-0.000482
1030.000001,5.749996,-0.250481
1030.000002,5.749992,-0.500481
1030.000003,5.749988,-0.750479
1030.000004,5.749985,-1.000478
1030.000005,5.749981,-1.250475
1030.000006,5.749977,-1.500473
1030.000007,5.749973,-1.750469
1030.000008,5.749970,-2.000465
1030.000009,5.749966,-2.250461
1029.999989,5.500040,2.749545
1029.999990,5.500036,2.499540
1029.999991,5.500033,2.249535
1029.999992,5.500029,1.999531
1029.999993,5.500025,1.749527
1029.999994,5.500022,1.499523
1029.999995,5.500018,1.249521
1029.999996,5.500014,0.999518
1029.999997,5.500011,0.749517
1029.999998,5.500007,0.499515
1029.999999,5.500004,0.249514
1030.000000,5.500000,-0.000486
1030.000001,5.499996,-0.250486
1030.000002,5.499993,-0.500485
1030.000003,5.499989,-0.750483
1030.000004,5.499985,-1.000482
1030.000005,5.499982,-1.250479
1030.000006,5.499978,-1.500477
1030.000007,5.499974,-1.750473
1030.000008,5.499971,-2.000469
1030.000009,5.499967,-2.250465
1030.000010,5.499964,-2.500460
1030.000011,5.499960,-2.750455
1029.999987,5.250045,3.249553
1029.999988,5.250041,2.999547
1029.999989,5.250038,2.749541
1029.999990,5.250035,2.499536
1029.999991,5.250031,2.249531
1029.999992,5.250028,1.999527
1029.999993,5.250024,1.749523
1029.999994,5.250021,1.499520
1029.999995,5.250017,1.249517
1029.999996,5.250014,0.999514
1029.999997,5.250010,0.749513
1029.999998,5.250007,0.499511
1029.999999,5.250003,0.249511
1030.000000,5.250000,-0.000490
1030.000001,5.249996,-0.250489
1030.000002,5.249993,-0.500489
1030.000003,5.249989,-0.750487
1030.000004,5.249986,-1.000486
1030.000005,5.249982,-1.250483
1030.000006,5.249979,-1.500480
1030.000007,5.249976,-1.750477
1030.000008,5.249972,-2.000473
1030.000009,5.249969,-2.250469
1030.000010,5.249965,-2.500464
1030.000011,5.249962,-2.750459
1030.000012,5.249958,-3.000453
1030.000012,5.249955,-3.250447
1029.999986,5.000049,3.749564
1029.999987,5.000046,3.499557
